StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Consent,ProlificID,Gender1,Race1_1,Race1_2,Race1_3,Race1_4,Race1_5,Race1_6,Race1_6_TEXT,Citizen,USborn,Residency_1,Residency_2,ConservativeIdeo,LiberalIdeo,GenPartyAffiliation,GenPartyAffiliation_4_TEXT,controlTime_First Click,controlTime_Last Click,controlTime_Page Submit,controlTime_Click Count,threatTime_First Click,threatTime_Last Click,threatTime_Page Submit,threatTime_Click Count,assuagedThreatTime_First Click,assuagedThreatTime_Last Click,assuagedThreatTime_Page Submit,assuagedThreatTime_Click Count,purposeAllCond,groupGrowth,whitePopChange,groupPower,reasonDemoShift,groupMove,areaGrowth,reasonMove,Readability,Informativity,USheaded,certain,statusThreatPercept,ImmigrantCitizenship,ImmigrationNumber,MilitaryFund,AffirmativeAction,Healthcare,EnglishNationalLang,MarriageRights,Prisons,GenPolSpectrum,Gender2,Race2_1,Race2_2,Race2_3,Race2_4,Race2_5,Race2_6,Race2_6_TEXT,Age,GenPartyAffiliation2,GenPartyAffiliation2_4_TEXT,Education,Income,primeRepeat,Guess,Comments,PROLIFIC_PID,Condition,FL_65_DO_FL_66,FL_65_DO_FL_67,FL_65_DO_FL_68,PolicyPreferences_DO_Spacing,PolicyPreferences_DO_EnglishNationalLang,PolicyPreferences_DO_ImmigrantCitizenship,PolicyPreferences_DO_AffirmativeAction,PolicyPreferences_DO_Healthcare,PolicyPreferences_DO_ImmigrationNumber,PolicyPreferences_DO_Prisons,PolicyPreferences_DO_MilitaryFund,PolicyPreferences_DO_GenPolSpectrum,PolicyPreferences_DO_MarriageRights
2021-11-11T07:45:38Z,2021-11-11T07:50:17Z,1,NA,100,278,1,2021-11-11T07:50:18Z,R_YRlko64EUlnR0dz,NA,NA,NA,NA,37.423004150390625,-122.16389465332033,preview,EN,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.877,3.62,4.346,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Control,1,NA,NA,10,4,8,7,1,3,5,6,9,2
2021-11-12T03:14:59Z,2021-11-12T03:48:31Z,1,NA,100,2011,1,2021-11-12T03:48:32Z,R_qE36J9qQM7gE7eh,NA,NA,NA,NA,37.423004150390625,-122.16389465332033,preview,EN,1,NA,2,NA,NA,1,NA,NA,NA,NA,1,1,1,19,6,6,2,NA,NA,NA,NA,NA,9.063,9.063,13.947,1,NA,NA,NA,NA,Blah,4,5,2,birth rates,NA,NA,NA,2,3,1,1,6,4,2,4,5,4,7,4,5,6,2,NA,NA,1,NA,NA,NA,NA,39,2,NA,2,2,2,idk,blah,NA,Status Threat,NA,1,NA,2,11,15,9,3,7,1,13,17,5
2021-11-12T03:48:55Z,2021-11-12T04:11:02Z,1,NA,100,1326,1,2021-11-12T04:11:03Z,R_12zGXM43IKRFyF1,NA,NA,NA,NA,37.423004150390625,-122.16389465332033,preview,EN,1,NA,1,NA,NA,1,NA,NA,NA,NA,1,1,1,16,2,2,1,NA,0.846,20.038,25.533,2,NA,NA,NA,NA,NA,NA,NA,NA,bblah,NA,NA,NA,NA,2,5,jj,5,4,3,3,2,2,4,2,2,1,2,1,2,2,1,NA,NA,1,NA,NA,NA,NA,22,1,NA,4,2,2,NA,NA,NA,Control,1,NA,NA,2,3,9,15,5,13,1,7,17,11
2021-11-12T04:11:05Z,2021-11-12T04:21:03Z,1,NA,100,597,1,2021-11-12T04:21:03Z,R_2tD9El164JmEM7Q,NA,NA,NA,NA,37.423004150390625,-122.16389465332033,preview,EN,1,NA,2,NA,NA,1,NA,NA,NA,NA,1,1,1,22,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,21.184,0,NA,4,5,1,NA,NA,NA,NA,2,2,4,2,5,2,3,1,1,1,3,1,1,2,2,NA,NA,1,NA,NA,NA,NA,27,1,NA,5,4,2,NA,NA,NA,Assuaged Threat,NA,NA,1,2,13,9,1,7,3,5,11,17,15
2021-11-12T04:21:07Z,2021-11-12T04:29:23Z,1,NA,100,496,1,2021-11-12T04:29:24Z,R_3oH2MdIIPcp67jz,NA,NA,NA,NA,37.423004150390625,-122.16389465332033,preview,EN,1,NA,1,NA,NA,1,NA,NA,NA,NA,1,1,1,13,7,7,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.301,7.301,9.512,1,NA,4,4,1,NA,NA,NA,NA,3,4,4,4,2,1,4,2,2,1,3,1,2,2,1,NA,NA,1,NA,NA,NA,NA,21,1,NA,3,1,2,NA,NA,NA,Assuaged Threat,NA,NA,1,2,9,3,7,13,1,5,11,17,15
2021-11-12T04:29:58Z,2021-11-12T05:09:42Z,1,NA,100,2383,1,2021-11-12T05:09:43Z,R_21p4lkQ38QW4hpr,NA,NA,NA,NA,37.423004150390625,-122.16389465332033,preview,EN,1,NA,2,NA,NA,1,NA,NA,NA,NA,1,1,1,23,7,7,2,NA,NA,NA,NA,NA,5.153,5.153,7.161,1,NA,NA,NA,NA,NA,3,5,2,NA,NA,NA,NA,5,5,2,1,7,5,1,5,7,6,7,5,6,7,1,NA,NA,1,NA,NA,NA,NA,59,2,NA,2,3,2,NA,NA,NA,Status Threat,NA,1,NA,2,15,3,1,5,7,11,13,17,9
2021-11-12T05:09:51Z,2021-11-12T05:20:02Z,1,NA,100,611,1,2021-11-12T05:20:03Z,R_27WnEE3XCpMIVmk,NA,NA,NA,NA,37.423004150390625,-122.16389465332033,preview,EN,1,NA,2,NA,NA,1,NA,NA,NA,NA,1,1,1,19,1,1,1,NA,4.929,4.929,6.144,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5,NA,2,2,4,4,2,1,1,1,2,1,2,1,1,1,2,NA,NA,1,NA,NA,NA,NA,20,1,NA,7,8,2,NA,NA,NA,Control,1,NA,NA,2,5,1,13,9,3,15,11,17,7
2021-11-12T07:36:37Z,2021-11-12T07:40:36Z,1,NA,100,238,1,2021-11-12T07:40:37Z,R_1Q3AZYVqJE6CiNJ,NA,NA,NA,NA,37.423004150390625,-122.16389465332033,preview,EN,1,NA,1,NA,NA,1,NA,NA,NA,NA,1,1,1,NA,1,2,3,NA,0.838,2.098,4.564,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5,NA,6,5,2,2,2,3,2,1,4,1,4,1,1,4,1,NA,NA,1,NA,NA,NA,NA,49,3,NA,7,6,2,NA,NA,NA,Control,1,NA,NA,2,11,13,7,1,5,15,9,17,3
2021-11-12T07:40:40Z,2021-11-12T07:44:49Z,1,NA,100,249,1,2021-11-12T07:44:50Z,R_ePPPngGm7KBM46t,NA,NA,NA,NA,37.423004150390625,-122.16389465332033,preview,EN,1,NA,1,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,5,7,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.356,1.356,6.108,1,NA,4,5,1,NA,NA,NA,NA,6,6,4,4,3,5,2,5,6,5,4,4,6,6,1,NA,NA,1,NA,NA,NA,NA,53,3,NA,6,5,2,NA,NA,NA,Assuaged Threat,NA,NA,1,2,9,3,1,7,13,15,5,17,11
2021-11-12T07:44:53Z,2021-11-12T07:48:34Z,1,NA,100,221,1,2021-11-12T07:48:35Z,R_3ni5Y8sf0LSfVOz,NA,NA,NA,NA,37.423004150390625,-122.16389465332033,preview,EN,1,NA,2,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,5,4,3,NA,NA,NA,NA,NA,3.644,3.644,4.612,1,NA,NA,NA,NA,NA,4,5,2,NA,NA,NA,NA,1,2,1,2,7,4,2,4,7,4,6,4,6,6,2,NA,NA,1,NA,NA,NA,NA,36,3,NA,5,3,2,NA,NA,NA,Status Threat,NA,1,NA,2,5,13,11,3,15,9,1,17,7
2021-11-14T00:59:11Z,2021-11-14T01:14:29Z,0,128.12.123.163,100,917,1,2021-11-14T01:14:29Z,R_un31DYg90EqOzuh,NA,NA,NA,NA,37.423004150390625,-122.16389465332033,anonymous,EN,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,2.377,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Status Threat,NA,1,NA,2,7,13,15,11,1,3,9,17,5
2021-11-14T01:14:37Z,2021-11-14T01:14:39Z,0,128.12.123.163,100,1,1,2021-11-14T01:14:39Z,R_2BxJgeInaqkbAqT,NA,NA,NA,NA,37.423004150390625,-122.16389465332033,anonymous,EN,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
